log-count,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,day,year,month,hour,weekday
2.890371758,1,1,0,2,8.2,9.85,47,15.0013,1,16,17,2011,1,0,0
2.833213344,1,1,0,2,8.2,9.85,44,12.998,1,15,17,2011,1,1,0
2.197224577,1,1,0,2,7.38,8.335,43,16.9979,0,8,17,2011,1,2,0
1.098612289,1,1,0,2,7.38,9.09,43,12.998,0,2,17,2011,1,3,0
1.386294361,1,1,0,2,7.38,9.85,43,8.9981,1,2,17,2011,1,4,0
0.693147181,1,1,0,2,7.38,9.85,43,11.0014,0,1,17,2011,1,5,0
1.791759469,1,1,0,2,7.38,9.09,43,12.998,0,5,17,2011,1,6,0
2.63905733,1,1,0,2,6.56,9.09,50,8.9981,4,9,17,2011,1,7,0
3.526360525,1,1,0,2,6.56,7.575,47,15.0013,3,30,17,2011,1,8,0
3.871201011,1,1,0,2,6.56,7.575,47,15.0013,8,39,17,2011,1,9,0
4.060443011,1,1,0,2,6.56,7.575,50,16.9979,7,50,17,2011,1,10,0
4.17438727,1,1,0,2,6.56,7.575,55,12.998,9,55,17,2011,1,11,0
4.394449155,1,1,0,2,7.38,9.85,47,8.9981,10,70,17,2011,1,12,0
4.543294782,1,1,0,2,7.38,9.85,47,8.9981,13,80,17,2011,1,13,0
4.465908119,1,1,0,2,7.38,10.605,43,7.0015,12,74,17,2011,1,14,0
4.543294782,1,1,0,2,8.2,10.605,47,11.0014,21,72,17,2011,1,15,0
4.418840608,1,1,0,2,8.2,10.605,47,11.0014,6,76,17,2011,1,16,0
4.276666119,1,1,0,1,8.2,9.85,51,12.998,4,67,17,2011,1,17,0
4.532599493,1,1,0,2,7.38,8.335,55,16.9979,7,85,17,2011,1,18,0
4.110873864,1,1,0,3,7.38,9.09,59,12.998,2,58,17,2011,1,19,0
3.526360525,1,1,0,3,6.56,7.575,80,12.998,4,29,17,2011,1,20,0
3.33220451,1,1,0,3,6.56,7.575,80,12.998,3,24,17,2011,1,21,0
2.63905733,1,1,0,3,5.74,6.06,93,16.9979,0,13,17,2011,1,22,0
1.609437912,1,1,0,3,6.56,6.82,86,19.0012,1,3,17,2011,1,23,0
1.386294361,1,0,1,2,8.2,9.09,86,22.0028,0,3,18,2011,1,12,1
3.135494216,1,0,1,2,8.2,9.85,86,15.0013,0,22,18,2011,1,13,1
3.36729583,1,0,1,2,9.02,11.365,80,11.0014,2,26,18,2011,1,14,1
3.583518938,1,0,1,2,9.02,11.365,87,11.0014,3,32,18,2011,1,15,1
4.127134385,1,0,1,2,9.02,11.365,87,12.998,0,61,18,2011,1,16,1
4.836281907,1,0,1,2,9.02,11.365,82,12.998,1,124,18,2011,1,17,1
4.8978398,1,0,1,2,9.02,11.365,80,11.0014,1,132,18,2011,1,18,1
4.605170186,1,0,1,2,9.02,11.365,80,8.9981,1,98,18,2011,1,19,1
4.430816799,1,0,1,2,9.02,13.635,87,0,0,83,18,2011,1,20,1
3.737669618,1,0,1,2,9.02,12.12,93,7.0015,0,41,18,2011,1,21,1
3.526360525,1,0,1,2,9.02,12.88,93,6.0032,0,33,18,2011,1,22,1
3.044522438,1,0,1,2,9.02,13.635,93,0,1,19,18,2011,1,23,1
1.386294361,1,0,1,2,9.02,13.635,93,0,0,3,19,2011,1,0,2
2.079441542,1,0,1,3,9.02,11.365,93,8.9981,1,6,19,2011,1,1,2
1.386294361,1,0,1,3,9.02,11.365,93,8.9981,0,3,19,2011,1,2,2
1.098612289,1,0,1,3,9.02,11.365,93,8.9981,1,1,19,2011,1,4,2
2.079441542,1,0,1,2,9.02,12.88,93,6.0032,0,7,19,2011,1,5,2
3.496507561,1,0,1,2,9.02,12.88,93,6.0032,0,32,19,2011,1,6,2
4.510859507,1,0,1,2,9.84,12.88,92,7.0015,1,89,19,2011,1,7,2
5.288267031,1,0,1,2,9.84,12.88,93,7.0015,1,196,19,2011,1,8,2
4.700480366,1,0,1,2,9.84,12.88,93,7.0015,2,107,19,2011,1,9,2
3.871201011,1,0,1,2,10.66,13.635,93,8.9981,1,46,19,2011,1,10,2
3.970291914,1,0,1,2,11.48,15.15,87,6.0032,5,47,19,2011,1,11,2
4.262679877,1,0,1,2,12.3,15.91,81,6.0032,5,65,19,2011,1,12,2
4.369447852,1,0,1,1,16.4,20.455,62,19.0012,11,67,19,2011,1,13,2
4.33073334,1,0,1,1,16.4,20.455,58,16.9979,7,68,19,2011,1,14,2
4.418840608,1,0,1,1,16.4,20.455,54,19.0012,4,78,19,2011,1,15,2
4.65396035,1,0,1,1,15.58,19.695,58,26.0027,10,94,19,2011,1,16,2
5.288267031,1,0,1,1,14.76,16.665,57,22.0028,7,190,19,2011,1,17,2
5.087596335,1,0,1,1,13.94,15.91,61,19.0012,5,156,19,2011,1,18,2
4.727387819,1,0,1,1,13.12,14.395,57,27.9993,4,108,19,2011,1,19,2
4.343805422,1,0,1,1,13.12,15.15,49,19.9995,2,74,19,2011,1,20,2
4.094344562,1,0,1,1,13.12,14.395,49,27.9993,4,55,19,2011,1,21,2
4.094344562,1,0,1,1,12.3,15.15,52,11.0014,6,53,19,2011,1,22,2
3.36729583,1,0,1,1,12.3,13.635,52,31.0009,1,27,19,2011,1,23,2
2.890371758,1,0,1,1,13.94,16.665,53,12.998,1,16,17,2011,2,0,3
1.945910149,1,0,1,1,13.94,15.91,53,15.0013,0,6,17,2011,2,1,3
1.945910149,1,0,1,2,13.94,15.91,53,15.0013,2,4,17,2011,2,2,3
1.609437912,1,0,1,1,13.94,16.665,53,12.998,3,1,17,2011,2,3,3
1.609437912,1,0,1,1,13.12,15.91,57,12.998,3,1,17,2011,2,4,3
2.564949357,1,0,1,1,13.12,16.665,66,6.0032,1,11,17,2011,2,5,3
3.871201011,1,0,1,1,12.3,15.15,70,8.9981,3,44,17,2011,2,6,3
4.844187086,1,0,1,1,13.12,16.665,57,7.0015,7,119,17,2011,2,7,3
5.655991811,1,0,1,1,13.12,16.665,57,6.0032,18,267,17,2011,2,8,3
5.192956851,1,0,1,1,14.76,17.425,57,12.998,16,163,17,2011,2,9,3
4.48863637,1,0,1,1,15.58,19.695,54,12.998,18,70,17,2011,2,10,3
4.510859507,1,0,1,2,18.04,21.97,44,16.9979,19,71,17,2011,2,11,3
4.624972813,1,0,1,1,19.68,23.485,41,15.0013,15,86,17,2011,2,12,3
4.820281566,1,0,1,1,22.14,25.76,34,15.0013,15,108,17,2011,2,13,3
4.406719247,1,0,1,1,24.6,31.06,31,15.0013,26,55,17,2011,2,14,3
4.672828834,1,0,1,1,24.6,30.305,28,16.9979,15,91,17,2011,2,15,3
4.990432587,1,0,1,2,22.96,26.515,35,19.9995,29,117,17,2011,2,16,3
5.616771098,1,0,1,2,23.78,27.275,32,19.9995,18,256,17,2011,2,17,3
5.407171771,1,0,1,2,22.14,25.76,42,19.0012,11,211,17,2011,2,18,3
5.170483995,1,0,1,1,19.68,23.485,55,22.0028,14,161,17,2011,2,19,3
4.941642423,1,0,1,1,19.68,23.485,59,22.0028,8,131,17,2011,2,20,3
4.828313737,1,0,1,1,21.32,25,55,26.0027,5,119,17,2011,2,21,3
4.343805422,1,0,1,1,20.5,24.24,59,19.0012,8,68,17,2011,2,22,3
3.80666249,1,0,1,1,18.86,22.725,67,19.9995,4,40,17,2011,2,23,3
3.496507561,1,0,1,1,18.04,21.97,72,19.0012,12,20,18,2011,2,0,4
2.197224577,1,0,1,1,18.04,21.97,72,15.0013,1,7,18,2011,2,1,4
2.079441542,1,0,1,1,18.04,21.97,72,19.0012,2,5,18,2011,2,2,4
2.197224577,1,0,1,1,18.86,22.725,67,16.9979,2,6,18,2011,2,3,4
0.693147181,1,0,1,1,18.86,22.725,67,16.9979,0,1,18,2011,2,4,4
2.079441542,1,0,1,2,18.86,22.725,67,7.0015,1,6,18,2011,2,5,4
3.931825633,1,0,1,2,18.04,21.97,72,11.0014,2,48,18,2011,2,6,4
4.762173935,1,0,1,2,17.22,21.21,77,15.0013,8,108,18,2011,2,7,4
5.609471795,1,0,1,2,17.22,21.21,77,12.998,26,246,18,2011,2,8,4
5.135798437,1,0,1,2,17.22,21.21,77,12.998,15,154,18,2011,2,9,4
4.564348191,1,0,1,2,18.04,21.97,72,15.0013,17,78,18,2011,2,10,4
4.736198448,1,0,1,1,18.04,21.97,72,11.0014,31,82,18,2011,2,11,4
5.225746674,1,0,1,1,20.5,24.24,59,12.998,59,126,18,2011,2,12,4
5.176149733,1,0,1,1,24.6,31.06,43,12.998,45,131,18,2011,2,13,4
5.257495372,1,0,1,1,27.06,31.06,36,19.9995,73,118,18,2011,2,14,4
5.153291594,1,0,1,1,27.06,31.06,36,22.0028,55,117,18,2011,2,15,4
5.451038454,1,0,1,1,27.06,31.06,36,19.0012,68,164,18,2011,2,16,4
5.793013608,1,0,1,1,27.06,31.06,34,23.9994,52,275,18,2011,2,17,4
5.416100402,1,0,1,1,26.24,31.06,33,22.0028,29,195,18,2011,2,18,4
5.093750201,1,0,1,1,25.42,31.06,29,39.0007,16,146,18,2011,2,19,4
4.828313737,1,0,1,1,24.6,31.06,31,12.998,19,105,18,2011,2,20,4
4.290459441,1,0,1,1,23.78,27.275,21,32.9975,11,61,18,2011,2,21,4
4.682131227,1,0,1,1,22.14,25.76,10,16.9979,19,88,18,2011,2,22,4
4.356708827,1,0,1,1,21.32,25,8,19.0012,16,61,18,2011,2,23,4
3.401197382,1,0,0,1,19.68,23.485,12,32.9975,6,23,19,2011,2,0,5
3.465735903,1,0,0,1,18.86,22.725,14,27.9993,10,21,19,2011,2,1,5
2.890371758,1,0,0,1,18.04,21.97,13,26.0027,3,14,19,2011,2,2,5
2.079441542,1,0,0,1,17.22,21.21,14,19.9995,0,7,19,2011,2,3,5
1.386294361,1,0,0,1,16.4,20.455,15,22.0028,0,3,19,2011,2,4,5
1.386294361,1,0,0,1,16.4,20.455,15,22.0028,0,3,19,2011,2,5,5
1.945910149,1,0,0,1,16.4,20.455,17,27.9993,3,3,19,2011,2,6,5
3.135494216,1,0,0,1,15.58,19.695,17,35.0008,6,16,19,2011,2,7,5
3.828641396,1,0,0,1,15.58,19.695,17,39.0007,9,36,19,2011,2,8,5
4.025351691,1,0,0,1,16.4,20.455,16,43.9989,18,37,19,2011,2,9,5
4.672828834,1,0,0,1,17.22,21.21,16,39.0007,34,72,19,2011,2,10,5
4.820281566,1,0,0,1,18.04,21.97,16,39.0007,47,76,19,2011,2,11,5
4.787491743,1,0,0,1,18.04,21.97,18,32.9975,38,81,19,2011,2,12,5
5.049856007,1,0,0,1,18.04,21.97,16,40.9973,52,103,19,2011,2,13,5
5.283203729,1,0,0,1,18.86,22.725,15,43.9989,102,94,19,2011,2,14,5
5.147494477,1,0,0,1,18.04,21.97,16,50.0021,84,87,19,2011,2,15,5
4.795790546,1,0,0,1,18.04,21.97,16,43.0006,39,81,19,2011,2,16,5
4.852030264,1,0,0,1,17.22,21.21,19,40.9973,36,91,19,2011,2,17,5
4.48863637,1,0,0,1,14.76,15.91,25,30.0026,21,67,19,2011,2,18,5
4.094344562,1,0,0,1,13.94,15.15,29,23.9994,5,54,19,2011,2,19,5
3.871201011,1,0,0,1,13.12,14.395,28,35.0008,9,38,19,2011,2,20,5
3.526360525,1,0,0,1,13.12,13.635,26,36.9974,4,29,19,2011,2,21,5
